Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706320,AMPLICON,502,12991760,PRJNA665482,SAMN16254735,Model organism or animal,7662780,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-12,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185155,Brazil,South America,"Brazil: Espirito Santo\, Santa Teresa",Illumina MiSeq,SLFT2238,2017TUCF_run2_SLFT2238,PAIRED,PCR,METAGENOMIC,Dendropsophus bipunctatus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:52:00Z,1,SLFT2238,not collected,SRP285287,skin swab
SRR12706306,AMPLICON,502,14186018,PRJNA665482,SAMN16254748,Model organism or animal,8140795,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-12,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Adult,SRX9185169,Brazil,South America,"Brazil: Espirito Santo\, Santa Teresa",Illumina MiSeq,SLFT2261,2017TUCF_run2_SLFT2261,PAIRED,PCR,METAGENOMIC,Dendropsophus bipunctatus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:52:00Z,1,SLFT2261,not collected,SRP285287,skin swab
SRR12706319,AMPLICON,502,13944054,PRJNA665482,SAMN16254736,Model organism or animal,8518587,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-12,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185156,Brazil,South America,"Brazil: Espirito Santo\, Santa Teresa",Illumina MiSeq,SLFT2239,2017TUCF_run2_SLFT2239,PAIRED,PCR,METAGENOMIC,Dendropsophus bipunctatus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:51:00Z,1,SLFT2239,not collected,SRP285287,skin swab
