Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706221,AMPLICON,502,67615384,PRJNA665482,SAMN16254240,Model organism or animal,45097418,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-07,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185254,Brazil,South America,"Brazil: Sao Paulo\, Iporanga",Illumina MiSeq,SLFT0562,2017TUCF_run3_SLFT0562,PAIRED,PCR,METAGENOMIC,Boana faber,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:51:00Z,1,SLFT0562,not collected,SRP285287,skin swab
SRR12706570,AMPLICON,502,74894384,PRJNA665482,SAMN16254643,Model organism or animal,47447137,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-08,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185871,Brazil,South America,"Brazil: Bahia\, Camacan",Illumina MiSeq,SLFT1969,2017TUCF_run2_SLFT1969,PAIRED,PCR,METAGENOMIC,Boana faber,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT1969,not collected,SRP285287,skin swab
SRR12706806,AMPLICON,502,48879740,PRJNA665482,SAMN16254430,Model organism or animal,32148295,UNIVERSIDADE ESTADUAL PAULISTA,2013-12-27,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185635,Brazil,South America,"Brazil: Rio de Janeiro\, Teresopolis",Illumina MiSeq,SLFT1041,2017TUCF_run1_SLFT1041,PAIRED,PCR,METAGENOMIC,Boana faber,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:58:00Z,1,SLFT1041,not collected,SRP285287,skin swab
SRR12706095,AMPLICON,502,98051142,PRJNA665482,SAMN16254938,Model organism or animal,67013267,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185380,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5147,2017TUCF_run4_SLFT5147,PAIRED,PCR,METAGENOMIC,Boana faber,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:49:00Z,1,SLFT5147,not collected,SRP285287,skin swab
SRR12706870,AMPLICON,502,69635934,PRJNA665482,SAMN16254375,Model organism or animal,38945727,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-10,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Adult,SRX9185571,Brazil,South America,"Brazil: Santa Catarina\, Rancho Queimado",Illumina MiSeq,SLFT0829,2017TUCF_run3_SLFT0829,PAIRED,PCR,METAGENOMIC,Boana faber,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:58:00Z,1,SLFT0829,not collected,SRP285287,skin swab
