Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706091,AMPLICON,502,86176332,PRJNA665482,SAMN16254942,Model organism or animal,60212159,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185384,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5165,2017TUCF_run4_SLFT5165,PAIRED,PCR,METAGENOMIC,Boana albomarginata,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT5165,not collected,SRP285287,skin swab
SRR12706156,AMPLICON,502,84578968,PRJNA665482,SAMN16254883,Model organism or animal,58135679,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-06,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Adult,SRX9185319,Brazil,South America,"Brazil: Paraiba\, Joao Pessoa",Illumina MiSeq,SLFT4926,2017TUCF_run4_SLFT4926,PAIRED,PCR,METAGENOMIC,Boana albomarginata,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT4926,not collected,SRP285287,skin swab
SRR12706505,AMPLICON,502,61923708,PRJNA665482,SAMN16254283,Model organism or animal,33216566,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-07,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185453,Brazil,South America,"Brazil: Sao Paulo\, Iporanga",Illumina MiSeq,SLFT0622,2017TUCF_run3_SLFT0622,PAIRED,PCR,METAGENOMIC,Boana albomarginata,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT0622,not collected,SRP285287,skin swab
SRR12706522,AMPLICON,502,79587582,PRJNA665482,SAMN16254988,Model organism or animal,53968934,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-13,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Adult,SRX9185436,Brazil,South America,"Brazil: Bahia\, Mata de Sao Joao",Illumina MiSeq,SLFT5295,2017TUCF_run4_SLFT5295,PAIRED,PCR,METAGENOMIC,Boana albomarginata,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT5295,not collected,SRP285287,skin swab
SRR12706585,AMPLICON,502,81818470,PRJNA665482,SAMN16254629,Model organism or animal,51795757,UNIVERSIDADE ESTADUAL PAULISTA,2013-09-03,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185856,Brazil,South America,"Brazil: Alagoas\, Murici",Illumina MiSeq,SLFT1919,2017TUCF_run3_SLFT1919,PAIRED,PCR,METAGENOMIC,Boana albomarginata,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT1919,not collected,SRP285287,skin swab
