Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706080,AMPLICON,502,66714294,PRJNA665482,SAMN16254952,Model organism or animal,46213448,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-10,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185395,Brazil,South America,"Brazil: Sergipe\, Areia Branca",Illumina MiSeq,SLFT5179,2017TUCF_run4_SLFT5179,PAIRED,PCR,METAGENOMIC,Dendropsophus minutus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT5179,not collected,SRP285287,skin swab
SRR12706172,AMPLICON,502,42969694,PRJNA665482,SAMN16254869,Model organism or animal,29448198,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-06,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Adult,SRX9185303,Brazil,South America,"Brazil: Paraiba\, Joao Pessoa",Illumina MiSeq,SLFT4889,2017TUCF_run4_SLFT4889,PAIRED,PCR,METAGENOMIC,Dendropsophus minutus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT4889,not collected,SRP285287,skin swab
SRR12706459,AMPLICON,502,50130724,PRJNA665482,SAMN16254311,Model organism or animal,29488227,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-09,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185499,Brazil,South America,"Brazil: Parana\, Morretes",Illumina MiSeq,SLFT0684,2017TUCF_run3_SLFT0684,PAIRED,PCR,METAGENOMIC,Dendropsophus minutus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:53:00Z,1,SLFT0684,not collected,SRP285287,skin swab
SRR12706813,AMPLICON,502,44076102,PRJNA665482,SAMN16254424,Model organism or animal,27753968,UNIVERSIDADE ESTADUAL PAULISTA,2013-12-27,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Adult,SRX9185628,Brazil,South America,"Brazil: Rio de Janeiro\, Teresopolis",Illumina MiSeq,SLFT1035,2017TUCF_run1_SLFT1035,PAIRED,PCR,METAGENOMIC,Dendropsophus minutus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:58:00Z,1,SLFT1035,not collected,SRP285287,skin swab
SRR12706388,AMPLICON,502,45411924,PRJNA665482,SAMN16254180,Model organism or animal,31160939,UNIVERSIDADE ESTADUAL PAULISTA,2013,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185087,Brazil,South America,"Brazil: Sao Paulo\, Iguape",Illumina MiSeq,SLFT0123,2017TUCF_run4_SLFT0123,PAIRED,PCR,METAGENOMIC,Dendropsophus minutus,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:52:00Z,1,SLFT0123,not collected,SRP285287,skin swab
