Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706322,AMPLICON,502,9540510,PRJNA665482,SAMN16254734,Model organism or animal,5715257,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-12,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185153,Brazil,South America,"Brazil: Espirito Santo\, Santa Teresa",Illumina MiSeq,SLFT2237,2017TUCF_run2_SLFT2237,PAIRED,PCR,METAGENOMIC,Dendropsophus branneri,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:51:00Z,1,SLFT2237,not collected,SRP285287,skin swab
SRR12706151,AMPLICON,502,36122916,PRJNA665482,SAMN16254887,Model organism or animal,25124148,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-06,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Adult,SRX9185324,Brazil,South America,"Brazil: Paraiba\, Joao Pessoa",Illumina MiSeq,SLFT4942,2017TUCF_run4_SLFT4942,PAIRED,PCR,METAGENOMIC,Dendropsophus branneri,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:50:00Z,1,SLFT4942,not collected,SRP285287,skin swab
SRR12706397,AMPLICON,502,13194568,PRJNA665482,SAMN16254666,Model organism or animal,7812515,UNIVERSIDADE ESTADUAL PAULISTA,2014-01-08,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Adult,SRX9185078,Brazil,South America,"Brazil: Bahia\, Camacan",Illumina MiSeq,SLFT1994,2017TUCF_run2_SLFT1994,PAIRED,PCR,METAGENOMIC,Dendropsophus branneri,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:52:00Z,1,SLFT1994,not collected,SRP285287,skin swab
SRR12706518,AMPLICON,502,21744632,PRJNA665482,SAMN16254992,Model organism or animal,15028912,UNIVERSIDADE ESTADUAL PAULISTA,2015-06-13,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Adult,SRX9185440,Brazil,South America,"Brazil: Bahia\, Mata de Sao Joao",Illumina MiSeq,SLFT5299,2017TUCF_run4_SLFT5299,PAIRED,PCR,METAGENOMIC,Dendropsophus branneri,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:54:00Z,1,SLFT5299,not collected,SRP285287,skin swab
