Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR12706435,AMPLICON,502,48348122,PRJNA665482,SAMN16254333,Model organism or animal,29187903,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-09,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185523,Brazil,South America,"Brazil: Parana\, Morretes",Illumina MiSeq,SLFT0710,2017TUCF_run3_SLFT0710,PAIRED,PCR,METAGENOMIC,Dendropsophus elegans,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:53:00Z,1,SLFT0710,not collected,SRP285287,skin swab
SRR12706657,AMPLICON,502,61441788,PRJNA665482,SAMN16254214,Model organism or animal,38609815,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-07,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185784,Brazil,South America,"Brazil: Sao Paulo\, Iporanga",Illumina MiSeq,SLFT0517,2017TUCF_run3_SLFT0517,PAIRED,PCR,METAGENOMIC,Dendropsophus elegans,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:55:00Z,1,SLFT0517,not collected,SRP285287,skin swab
SRR12706759,AMPLICON,502,55652724,PRJNA665482,SAMN16254473,Model organism or animal,35824518,UNIVERSIDADE ESTADUAL PAULISTA,2013,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185682,Brazil,South America,"Brazil: Sao Paulo\, Iguape",Illumina MiSeq,SLFT1109,2017TUCF_run1_SLFT1109,PAIRED,PCR,METAGENOMIC,Dendropsophus elegans,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:57:00Z,1,SLFT1109,not collected,SRP285287,skin swab
SRR12706486,AMPLICON,502,72381372,PRJNA665482,SAMN16254300,Model organism or animal,43226047,UNIVERSIDADE ESTADUAL PAULISTA,2013-01-09,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Adult,SRX9185472,Brazil,South America,"Brazil: Parana\, Morretes",Illumina MiSeq,SLFT0662,2017TUCF_run3_SLFT0662,PAIRED,PCR,METAGENOMIC,Dendropsophus elegans,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:53:00Z,1,SLFT0662,not collected,SRP285287,skin swab
SRR12706655,AMPLICON,502,48782352,PRJNA665482,SAMN16254566,Model organism or animal,33588581,UNIVERSIDADE ESTADUAL PAULISTA,2013-02-23,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Adult,SRX9185786,Brazil,South America,"Brazil: Sao Paulo\, Pedro de Toledo",Illumina MiSeq,SLFT1493,2017TUCF_run4_SLFT1493,PAIRED,PCR,METAGENOMIC,Dendropsophus elegans,ILLUMINA,2020-09-24T00:00:00Z,2020-09-24T14:55:00Z,1,SLFT1493,not collected,SRP285287,skin swab
